"""course code""","""course name""","""prerequisites""","""restrictions"""
"""ACCT*1220""","""Introductory Financial Accounting""","""()""","""{ACCT*2220}"""
"""ACCT*1240""","""Applied Financial Accounting""","""ACCT*1220 OR ACCT*2220""","""{ACCT*2240}"""
"""ACCT*2230""","""Management Accounting""","""ACCT*1220 OR ACCT*2220""","""{}"""
"""ACCT*3230""","""Intermediate Management Accounting""","""ACCT*2230""","""{}"""
"""ACCT*3280""","""Auditing I""","""ACCT*3330""","""{}"""
"""ACCT*3330""","""Intermediate Financial Accounting I""","""ACCT*1220 OR ACCT*2220""","""{}"""
"""ACCT*3340""","""Intermediate Financial Accounting II""","""ACCT*3330""","""{}"""
"""ACCT*3350""","""Taxation""","""ACCT*3330""","""{}"""
"""ACCT*4220""","""Advanced Financial Accounting""","""(ACCT*3330 OR BUS*3330) AND (ACCT*3340 OR BUS*3340)""","""{}"""
"""ACCT*4230""","""Advanced Management Accounting""","""ACCT*3230 OR BUS*3230""","""{}"""
"""ACCT*4270""","""Auditing II""","""ACCT*3280 OR BUS*3280""","""{}"""
"""ACCT*4290""","""IT Auditing and Data Analytics""","""ACCT*3280 OR BUS*4280""","""{}"""
"""ACCT*4340""","""Accounting Theory""","""15.00 credits AND ACCT*3340""","""{}"""
"""ACCT*4350""","""Income Taxation II""","""ACCT*3350 OR BUS*3350""","""{}"""
"""ACCT*4440""","""Integrated Cases in Accounting""","""15.00 credits AND ACCT*3280 AND ACCT*3340 AND ACCT*3350""","""{}"""
"""AGR*1110""","""Introduction to the Agri-Food Systems""","""()""","""{AGR*1100,AGR*1250}"""
"""AGR*1350""","""Animal Production Systems and Industry: Dairy, Poultry and Egg""","""BIOL*1050 OR BIOL*1070 OR BIOL*1080 BIOL*1090""","""{AGR*2350}"""
"""AGR*2050""","""Agroecology""","""(AGR*1110 OR AGR*2150) AND (BIOL*1050 OR BIOL*1070)""","""{CROP*2110}"""
"""AGR*2150""","""Plant Agriculture for International Development""","""4.00 credits""","""{AGR*2470}"""
"""AGR*2320""","""Soils in Agroecosystems""","""2.50 credits""","""{ENVS*2060,SOIL*2010}"""
"""AGR*2350""","""Animal Production Systems and Industry: Beef, Swine and Others""","""(2 of BIOL*1050 OR BIOL*1070 OR BIOL*1080 OR BIOL*1090)""","""{}"""
"""AGR*2470""","""Introduction to Plant Agriculture""","""BIOL*1050 OR BIOL*1070""","""{AGR*2150}"""
"""AGR*2500""","""Field Course in International Agriculture""","""(AGR*1110 OR AGR*1250) OR registration in International Development""","""{}"""
"""AGR*3010""","""Special Studies in Agricultural Science I""","""10.00 credits""","""{}"""
"""AGR*3200""","""Computing for Bioscientists""","""9.50 credits""","""{}"""
"""AGR*3450""","""Research Methods in Agricultural Science""","""7.50 credits AND (GEOG*2460 OR STAT*2040  OR STAT*2060 OR STAT*2080)""","""{}"""
"""AGR*4010""","""Special Studies in Agricultural Science II""","""15.00 credits""","""{}"""
"""AGR*4020""","""Precision Techniques for Plant Agriculture""","""AGR*2470 AND STAT*2040 AND (BIOL*1050 OR BIOL*1070)""","""{}"""
"""AGR*4450""","""Research Project I""","""10.00 credits""","""{}"""
"""AGR*4460""","""Research Project II""","""AGR*4450""","""{}"""
"""AGR*4600""","""Agriculture and Food Issues Problem Solving""","""12.50 credits""","""{}"""
"""ANSC*2210""","""Principles of Animal Care and Welfare""","""AGR*1350 OR AGR*2350 OR EQN*1010""","""{ANSC*1210}"""
"""ANSC*2340""","""Structure of Farm Animals""","""2 of BIOL*1050 OR BIOL*1070 OR BIOL*1080 OR BIOL*1090""","""{}"""
"""ANSC*3040""","""Animal Reproduction""","""ANSC*3080""","""{}"""
"""ANSC*3050""","""Aquaculture: Advanced Issues""","""AGR*2350 OR ZOO*2090""","""{}"""
"""ANSC*3080""","""Agricultural Animal Physiology""","""BIOC*2580 OR EQN*2040""","""{}"""
"""ANSC*3090""","""Principles of Animal Behaviour""","""ANSC*1210 OR ANSC*2210""","""{ANSC*4090}"""
"""ANSC*3120""","""Introduction to Animal Nutrition""","""()""","""{}"""
"""ANSC*3170""","""Nutrition of Fish and Crustacea""","""NUTR*3210""","""{}"""
"""ANSC*3180""","""Wildlife Nutrition""","""NUTR*3210""","""{}"""
"""ANSC*3270""","""Animal Disorders""","""ANSC*3080""","""{}"""
"""ANSC*4010""","""Animal Welfare Judging and Evaluation""","""15.00 credits AND ANSC*3080 AND (ANSC*1210 OR ANSC*2210)""","""{}"""
"""ANSC*4040""","""Digital Technologies for Animal Production Systems""","""ANSC*3120 AND STAT*2040""","""{}"""
"""ANSC*4050""","""Biotechnology in Animal Science""","""MBG*2040 OR MBG*2400""","""{}"""
"""ANSC*4090""","""Applied Animal Behaviour and Welfare""","""ANSC*3080 AND ANSC*3090""","""{}"""
"""ANSC*4100""","""Applied Environmental Physiology and Animal Housing""","""ANSC*3080""","""{}"""
"""ANSC*4230""","""Challenges and Opportunities in Dairy Cattle Production""","""ANSC*3080 AND ANSC*3120 AND MBG*3060""","""{}"""
"""ANSC*4260""","""Beef Cattle Nutrition""","""ANSC*3120""","""{}"""
"""ANSC*4270""","""Dairy Cattle Nutrition""","""ANSC*3120""","""{}"""
"""ANSC*4280""","""Poultry Nutrition""","""ANSC*3120""","""{}"""
"""ANSC*4290""","""Swine Nutrition""","""ANSC*3120""","""{}"""
"""ANSC*4350""","""Experiments in Animal Biology""","""14.00 credits AND ANSC*3080""","""{}"""
"""ANSC*4470""","""Animal Metabolism""","""NUTR*3210""","""{}"""
"""ANSC*4490""","""Applied Endocrinology""","""ANSC*3080""","""{}"""
"""ANSC*4560""","""Pet Nutrition""","""NUTR*3210""","""{}"""
"""ANSC*4610""","""Critical Analysis in Animal Science""","""15.00 credits AND 2.00 in ANSC OR EQN""","""{}"""
"""ANSC*4650""","""Comparative Immunology""","""ANSC*3080""","""{}"""
"""ANSC*4700""","""Research in Animal Biology I""","""14.00 credits""","""{}"""
"""ANSC*4710""","""Research in Animal Biology II""","""ANSC*4700""","""{}"""
"""ANTH*1120""","""Biological Anthropology""","""()""","""{}"""
"""ANTH*1150""","""Introduction to Anthropology""","""()""","""{}"""
"""ANTH*2180""","""Public Anthropology""","""ANTH*1150 OR IDEV*1000 OR SOC*1100""","""{}"""
"""ANTH*2230""","""Regional Ethnography""","""ANTH*1150""","""{}"""
"""ANTH*2660""","""Contemporary Indigenous Peoples in Canada""","""ANTH*1150 OR IDEV*1000 OR IES*1010 OR SOC*1100""","""{}"""
"""ANTH*3550""","""Medical Anthropology""","""SOAN*2120 AND (ANTH*2160 OR ANTH*2180 OR ANTH*2230 OR ANTH*2660 OR IDEV*2500)""","""{}"""
"""ANTH*3650""","""The Anthropology of Indigenous Peoples Before Canada""","""(ANTH*2160 OR ANTH*2180 OR IDEV*2000 OR IES*2010 OR (1 of ANTH*2230 OR ANTH*2660 OR HIST*2090 OR IDEV*2400 OR IDEV*2500))""","""{ANTH*2650}"""
"""ANTH*3690""","""Engaging Anthropological Theory""","""ANTH*2230 AND (ANTH*2160 OR ANTH*2180) AND SOAN*2120""","""{}"""
